case,repetitions,baseline_route_core_mean_s,baseline_route_core_sd_s,candidate_route_core_mean_s,candidate_route_core_sd_s,route_core_delta_percent,route_core_delta_percent_ci95,route_core_speedup_x,baseline_native_flow_mean_s,candidate_native_flow_mean_s,native_flow_delta_percent,baseline_full_flow_mean_s,candidate_full_flow_mean_s,full_flow_delta_percent,full_flow_speedup_x,quality_same_repetitions,exact_gds_match_repetitions,baseline_example_gds,candidate_example_gds,baseline_example_drc,candidate_example_drc
mrr_weight_bank_16x16,3,40.36743,2.743333,40.860422,1.310794,1.221261,10.920762,0.987935,41.921518,42.382894,1.100569,144.078915,137.476715,-4.58235,1.048024,0,0,<EXPERIMENT_ROOT>\runs\timing_h015_quality_ab_n3_baseline_r1\artifacts\tier0_smoke\mrr_weight_bank_16x16_cpp.gds,<EXPERIMENT_ROOT>\runs\timing_h015_quality_ab_n3_candidate_r1\artifacts\tier0_smoke\mrr_weight_bank_16x16_cpp.gds,<EXPERIMENT_ROOT>\runs\timing_h015_quality_ab_n3_baseline_r1\artifacts\tier0_smoke\mrr_weight_bank_16x16_cpp_picdb_flow\cpp\db_drc_summary.txt,<EXPERIMENT_ROOT>\runs\timing_h015_quality_ab_n3_candidate_r1\artifacts\tier0_smoke\mrr_weight_bank_16x16_cpp_picdb_flow\cpp\db_drc_summary.txt
mrr_weight_bank_8x8,3,3.421262,0.18687,3.31075,0.416488,-3.230143,20.306727,1.03338,3.738674,3.624925,-3.042513,40.18498,39.785101,-0.995097,1.010051,0,0,<EXPERIMENT_ROOT>\runs\timing_h015_quality_ab_n3_baseline_r1\artifacts\tier0_smoke\mrr_weight_bank_8x8_cpp.gds,<EXPERIMENT_ROOT>\runs\timing_h015_quality_ab_n3_candidate_r1\artifacts\tier0_smoke\mrr_weight_bank_8x8_cpp.gds,<EXPERIMENT_ROOT>\runs\timing_h015_quality_ab_n3_baseline_r1\artifacts\tier0_smoke\mrr_weight_bank_8x8_cpp_picdb_flow\cpp\db_drc_summary.txt,<EXPERIMENT_ROOT>\runs\timing_h015_quality_ab_n3_candidate_r1\artifacts\tier0_smoke\mrr_weight_bank_8x8_cpp_picdb_flow\cpp\db_drc_summary.txt
multiportmmi_16x16,3,109.291692,2.436688,106.84204,2.943624,-2.241389,4.840769,1.022928,110.48182,108.076677,-2.176958,220.76171,220.448656,-0.141806,1.00142,3,3,<EXPERIMENT_ROOT>\runs\timing_h015_quality_ab_n3_baseline_r1\artifacts\tier0_smoke\multiportmmi_16x16_cpp.gds,<EXPERIMENT_ROOT>\runs\timing_h015_quality_ab_n3_candidate_r1\artifacts\tier0_smoke\multiportmmi_16x16_cpp.gds,<EXPERIMENT_ROOT>\runs\timing_h015_quality_ab_n3_baseline_r1\artifacts\tier0_smoke\multiportmmi_16x16_cpp_picdb_flow\cpp\db_drc_summary.txt,<EXPERIMENT_ROOT>\runs\timing_h015_quality_ab_n3_candidate_r1\artifacts\tier0_smoke\multiportmmi_16x16_cpp_picdb_flow\cpp\db_drc_summary.txt
